,监测点,AQI,质量等级,PM2.5浓度(1小时),主要污染物
3,马钢动力厂,38,优,10,颗粒物（PM10）
4,市教育基地,37,优,9,颗粒物（PM10）
0,嘉应大学,52,良,10,颗粒物（PM10）
1,梅县新城,21,优,14,颗粒物（PM10）
2,环境监控中心,33,优,4,颗粒物（PM10）
0,市环保局茂港分局,15,优,7,颗粒物（PM10）
1,茂石化七小,25,优,8,颗粒物（PM10）
2,健康路,0,优,--,颗粒物（PM10）
3,高岭,0,优,1,颗粒物（PM10）
0,环保大楼,28,优,15,颗粒物（PM10）
1,文化广场,28,优,17,颗粒物（PM10）
2,第一医院,30,优,6,颗粒物（PM10）
3,机车工厂,28,优,11,颗粒物（PM10）
4,第一中学,29,优,13,颗粒物（PM10）
0,富乐山,59,良,30,颗粒物（PM10）
1,市人大,94,良,29,颗粒物（PM10）
2,高新区自来水公司,110,轻度污染,28,颗粒物（PM10）
3,三水厂,109,轻度污染,31,颗粒物（PM10）
0,蟆颐观,88,良,19,颗粒物（PM10）
1,气象局,60,良,6,颗粒物（PM10）
2,旭光小区,0,优,--,颗粒物（PM10）
3,市监测站,0,优,--,颗粒物（PM10）
4,市委党校,75,良,23,颗粒物（PM10）
5,区人社局,50,优,15,颗粒物（PM10）
0,茫荡山,21,优,14,颗粒物（PM10）
1,南平市监测站,20,优,10,颗粒物（PM10）
2,南平铝业有限公司,19,优,6,颗粒物（PM10）
3,南平七中,35,优,10,颗粒物（PM10）
0,金涵水库,77,良,56,颗粒物（PM10）
1,蕉城区农机局,0,优,--,颗粒物（PM10）
2,宁德市监测站,52,良,33,颗粒物（PM10）
3,金涵水库(对照点),67,良,48,颗粒物（PM10）
4,宁德一中(20190319启用),0,优,75,颗粒物（PM10）
5,宁德一中,62,良,39,颗粒物（PM10）
0,环保局,72,良,24,颗粒物（PM10）
1,瓦房庄,84,良,20,颗粒物（PM10）
2,汉画馆,67,良,28,颗粒物（PM10）
3,气象站,102,轻度污染,76,颗粒物（PM10）
4,理工学院,59,良,30,颗粒物（PM10）
5,环保局,74,良,25,颗粒物（PM10）
0,迈皋桥,70,良,22,颗粒物（PM10）
1,草场门,71,良,24,颗粒物（PM10）
2,山西路,0,优,--,颗粒物（PM10）
3,中华门,65,良,17,颗粒物（PM10）
4,瑞金路,76,良,29,颗粒物（PM10）
5,玄武湖,0,优,16,颗粒物（PM10）
6,浦口,98,良,14,颗粒物（PM10）
7,奥体中心,67,良,23,颗粒物（PM10）
8,仙林大学城,64,良,18,颗粒物（PM10）
0,南郊,120,轻度污染,41,颗粒物（PM10）
1,虹桥,113,轻度污染,33,颗粒物（PM10）
2,城中,0,优,37,颗粒物（PM10）
3,星湖花园,111,轻度污染,36,颗粒物（PM10）
4,紫琅学院,112,轻度污染,30,颗粒物（PM10）
0,省外办,21,优,6,颗粒物（PM10）
1,省林业公司,22,优,5,颗粒物（PM10）
2,林科所,22,优,4,颗粒物（PM10）
3,京东镇政府,0,优,--,颗粒物（PM10）
4,建工学校,21,优,5,颗粒物（PM10）
5,象湖,23,优,8,颗粒物（PM10）
6,武术学校,25,优,11,颗粒物（PM10）
7,石化,0,优,--,颗粒物（PM10）
8,省站,22,优,7,颗粒物（PM10）
9,机电学校,33,优,22,颗粒物（PM10）
10,武术学校(对照点),23,优,4,颗粒物（PM10）
11,机电学校(启用170322),0,优,39,颗粒物（PM10）
12,南昌经开区桑海产业园(新增191231),0,优,55,颗粒物（PM10）
13,外国语学校(微调200108),42,优,29,颗粒物（PM10）
14,外国语学校(启用200108),46,优,32,颗粒物（PM10）
15,外国语学校,0,优,10,颗粒物（PM10）
0,市监测站,43,优,12,颗粒物（PM10）
1,东兴区政府,46,优,19,颗粒物（PM10）
2,内江二中,46,优,10,颗粒物（PM10）
3,内江日报社,46,优,10,颗粒物（PM10）
0,西山风景区,89,良,37,颗粒物（PM10）
1,南充市委,70,良,51,颗粒物（PM10）
2,南充炼油厂,54,良,20,颗粒物（PM10）
3,高坪区监测站,62,良,26,颗粒物（PM10）
4,嘉陵区环保局,48,优,32,颗粒物（PM10）
5,市环境监测站,53,良,33,颗粒物（PM10）
0,区环保大楼,19,优,13,颗粒物（PM10）
1,万里学院,15,优,10,颗粒物（PM10）
2,龙赛医院,16,优,8,颗粒物（PM10）
3,三江中学,0,优,--,颗粒物（PM10）
4,市政管理站,0,优,--,颗粒物（PM10）
5,钱湖水厂,0,优,10,颗粒物（PM10）
6,太古小学,16,优,10,颗粒物（PM10）
7,市环境监测中心,17,优,10,颗粒物（PM10）
8,万里国际学校,16,优,11,颗粒物（PM10）
9,白沙活动中心,17,优,11,颗粒物（PM10）
0,荔城区仓后路,49,优,11,颗粒物（PM10）
1,莆田市监测站,56,良,17,颗粒物（PM10）
2,涵江区六中,40,优,13,颗粒物（PM10）
3,秀屿区政府,33,优,13,颗粒物（PM10）
4,东圳水库,69,良,32,颗粒物（PM10）
0,监测站,0,优,20,颗粒物（PM10）
1,博物馆,0,优,--,颗粒物（PM10）
0,环保局,149,轻度污染,40,颗粒物（PM10）
1,紭天威,0,优,--,颗粒物（PM10）
2,油田运输公司,141,轻度污染,38,颗粒物（PM10）
3,油田物探公司,138,轻度污染,41,颗粒物（PM10）
4,濮水河管理处,159,中度污染,46,颗粒物（PM10）
0,高压开关厂,0,优,--,颗粒物（PM10）
1,新华旅馆,82,良,13,颗粒物（PM10）
2,规划设计院,67,良,20,颗粒物（PM10）
3,平顶山工学院,67,良,34,颗粒物（PM10）
4,规划局(20190304启用),0,优,110,颗粒物（PM10）
5,规划局,57,良,33,颗粒物（PM10）
0,蓬莱环保局,33,优,6,颗粒物（PM10）
1,蓬莱博物馆,21,优,8,颗粒物（PM10）
0,弄弄坪,42,优,10,颗粒物（PM10）
1,河门口,38,优,14,颗粒物（PM10）
2,炳草岗,34,优,16,颗粒物（PM10）
3,仁和,30,优,7,颗粒物（PM10）
4,四十中小,38,优,18,颗粒物（PM10）
0,市环保局,29,优,15,颗粒物（PM10）
1,普洱第二中学,22,优,15,颗粒物（PM10）
0,涂山街,0,优,9,颗粒物（PM10）
1,津头埔,42,优,7,颗粒物（PM10）
2,万安,38,优,13,颗粒物（PM10）
3,清源山,32,优,11,颗粒物（PM10）
0,区环保局,49,优,20,颗粒物（PM10）
1,粮贸总公司,50,优,20,颗粒物（PM10）
2,市环保局,0,优,14,颗粒物（PM10）
0,安居小区,18,优,4,颗粒物（PM10）
1,中心广场,24,优,8,颗粒物（PM10）
2,农牧车辆厂,16,优,6,颗粒物（PM10）
3,富区环保局,0,优,--,颗粒物（PM10）
4,市环境监测站,22,优,2,颗粒物（PM10）
5,富区环保局(停运191231),0,优,--,颗粒物（PM10）
6,富区青少年活动中心(启用191231),47,优,31,颗粒物（PM10）
7,富区青少年活动中心,15,优,5,颗粒物（PM10）
﻿,监测点,AQI,质量等级,PM2.5浓度(1小时),颗粒物（PM10）
0,北戴河环保局,31,优,4,颗粒物（PM10）
1,第一关,34,优,11,颗粒物（PM10）
2,监测站,39,优,11,颗粒物（PM10）
3,市政府,0,优,--,颗粒物（PM10）
4,建设大厦,36,优,4,颗粒物（PM10）
5,文明里(启用171012),74,良,54,颗粒物（PM10）
6,文明里,36,优,11,颗粒物（PM10）
0,仰口,91,良,41,颗粒物（PM10）
1,李沧区子站,107,轻度污染,34,颗粒物（PM10）
2,市北区子站,102,轻度污染,36,颗粒物（PM10）
3,市南区东部子站,84,良,29,颗粒物（PM10）
4,四方区子站,93,良,31,颗粒物（PM10）
5,市南区西部子站,94,良,7,颗粒物（PM10）
6,崂山区子站,0,优,27,颗粒物（PM10）
7,黄岛区子站,93,良,42,颗粒物（PM10）
8,城阳区子站,104,轻度污染,37,颗粒物（PM10）
0,环保大楼,16,优,10,颗粒物（PM10）
1,实验学校,25,优,9,颗粒物（PM10）
2,衢州学院,20,优,9,颗粒物（PM10）
0,荣成市环保局办公楼,71,良,26,颗粒物（PM10）
1,山东成山轮胎公司,72,良,23,颗粒物（PM10）
0,乳山市环保局,106,轻度污染,66,颗粒物（PM10）
0,监测站,140,轻度污染,33,颗粒物（PM10）
1,市政府广场,129,轻度污染,40,颗粒物（PM10）
2,港务局,147,轻度污染,53,颗粒物（PM10）
0,日喀则监测站,22,优,6,颗粒物（PM10）
1,日喀则鸿达公司,37,优,7,颗粒物（PM10）
0,上方山,68,良,7,颗粒物（PM10）
1,南门,82,良,32,颗粒物（PM10）
2,彩香,74,良,20,颗粒物（PM10）
3,轧钢厂,59,良,30,颗粒物（PM10）
4,吴中区,70,良,18,颗粒物（PM10）
5,苏州新区,50,优,16,颗粒物（PM10）
6,苏州工业园区,0,优,33,颗粒物（PM10）
7,相城区,0,优,36,颗粒物（PM10）
0,双合村,10,优,7,颗粒物（PM10）
1,南小市,0,优,--,颗粒物（PM10）
2,环保局,29,优,20,颗粒物（PM10）
3,苗圃,31,优,20,颗粒物（PM10）
0,人和东街,26,优,2,颗粒物（PM10）
1,党政办公中心,24,优,1,颗粒物（PM10）
0,武当山,44,优,16,颗粒物（PM10）
1,滨河新村,46,优,12,颗粒物（PM10）
2,刘家沟,50,优,13,颗粒物（PM10）
3,铁二处,64,良,19,颗粒物（PM10）
0,市委党校,44,优,16,颗粒物（PM10）
1,市林业局,39,优,16,颗粒物（PM10）
2,市立交桥水厂,42,优,9,颗粒物（PM10）
0,小河沿,29,优,4,颗粒物（PM10）
1,太原街,29,优,2,颗粒物（PM10）
2,浑南东路,32,优,6,颗粒物（PM10）
3,新秀街,33,优,5,颗粒物（PM10）
4,沧海路,0,优,--,颗粒物（PM10）
5,东陵路,30,优,6,颗粒物（PM10）
6,陵东街,32,优,4,颗粒物（PM10）
7,文化路,33,优,5,颗粒物（PM10）
8,南十东路,0,优,--,颗粒物（PM10）
9,京沈街,33,优,6,颗粒物（PM10）
10,森林路,29,优,4,颗粒物（PM10）
11,沈辽西路,31,优,9,颗粒物（PM10）
12,裕农路,31,优,6,颗粒物（PM10）
0,十五厂,84,良,43,颗粒物（PM10）
1,虹口,61,良,35,颗粒物（PM10）
2,徐汇上师大,69,良,45,颗粒物（PM10）
3,杨浦四漂,64,良,46,颗粒物（PM10）
4,青浦淀山湖,48,优,30,颗粒物（PM10）
5,静安监测站,59,良,41,颗粒物（PM10）
6,浦东川沙,83,良,61,颗粒物（PM10）
7,浦东新区监测站,69,良,42,颗粒物（PM10）
8,浦东张江,93,良,59,颗粒物（PM10）
9,普陀,70,良,29,颗粒物（PM10）
0,上方山,68,良,7,颗粒物（PM10）
1,南门,82,良,32,颗粒物（PM10）
2,彩香,74,良,20,颗粒物（PM10）
3,轧钢厂,59,良,30,颗粒物（PM10）
4,吴中区,70,良,18,颗粒物（PM10）
5,苏州新区,50,优,16,颗粒物（PM10）
6,苏州工业园区,0,优,33,颗粒物（PM10）
7,相城区,0,优,36,颗粒物（PM10）
0,百草园,40,优,20,颗粒物（PM10）
1,市监测站,0,优,15,颗粒物（PM10）
2,凤凰光学,32,优,22,颗粒物（PM10）
3,开发区管委会,0,优,--,颗粒物（PM10）
4,百草园(对照点),19,优,9,颗粒物（PM10）
5,双创科技楼(启用200112),19,优,6,颗粒物（PM10）
6,双创科技楼,21,优,6,颗粒物（PM10）
0,袍江站,24,优,9,颗粒物（PM10）
1,城东开发委,22,优,1,颗粒物（PM10）
2,市环保站,136,轻度污染,32,颗粒物（PM10）
3,树下王站,22,优,6,颗粒物（PM10）
0,三钢,42,优,29,颗粒物（PM10）
1,三明二中,26,优,16,颗粒物（PM10）
2,三元区政府,43,优,13,颗粒物（PM10）
3,洋溪,27,优,12,颗粒物（PM10）
0,荔园,63,良,45,颗粒物（PM10）
1,洪湖,16,优,7,颗粒物（PM10）
2,华侨城,19,优,11,颗粒物（PM10）
3,南油,65,良,47,颗粒物（PM10）
4,盐田,16,优,7,颗粒物（PM10）
5,龙岗,18,优,5,颗粒物（PM10）
6,西乡,22,优,4,颗粒物（PM10）
7,南澳,0,优,7,颗粒物（PM10）
8,葵涌,17,优,8,颗粒物（PM10）
9,梅沙,19,优,8,颗粒物（PM10）
10,观澜,35,优,14,颗粒物（PM10）
11,通心岭子站,19,优,10,颗粒物（PM10）
12,南海子站,23,优,10,颗粒物（PM10）
0,金平子站,26,优,16,颗粒物（PM10）
1,龙湖子站,29,优,10,颗粒物（PM10）
2,濠江子站,25,优,8,颗粒物（PM10）
3,澄海子站,29,优,11,颗粒物（PM10）
4,潮阳子站,24,优,11,颗粒物（PM10）
5,潮南子站,21,优,8,颗粒物（PM10）
0,市八中,29,优,20,颗粒物（PM10）
1,碧湖山庄,32,优,11,颗粒物（PM10）
2,园林处,0,优,14,颗粒物（PM10）
3,韶关学院,29,优,10,颗粒物（PM10）
4,曲江监测站,39,优,27,颗粒物（PM10）
0,市环保局,28,优,14,颗粒物（PM10）
1,市政府,17,优,3,颗粒物（PM10）
2,新城中学,20,优,7,颗粒物（PM10）
0,河东子站,0,优,9,颗粒物（PM10）
1,河西子站,21,优,5,颗粒物（PM10）
0,化工学校,0,优,--,颗粒物（PM10）
1,职工医院,84,良,26,颗粒物（PM10）
2,高新区,82,良,34,颗粒物（PM10）
3,西北水源,70,良,17,颗粒物（PM10）
4,西南高教,0,优,44,颗粒物（PM10）
5,世纪公园,0,优,20,颗粒物（PM10）
6,人民会堂,63,良,21,颗粒物（PM10）
7,封龙山,98,良,22,颗粒物（PM10）
8,22中南校区,86,良,26,颗粒物（PM10）
0,环境监测站,382,严重污染,332,颗粒物（PM10）
1,粮食局,361,严重污染,311,颗粒物（PM10）
2,睢阳区环保局,368,严重污染,318,颗粒物（PM10）
3,第三人民医院,0,优,--,颗粒物（PM10）
4,环境监测站,80,良,28,颗粒物（PM10）
5,粮食局,97,良,34,颗粒物（PM10）
6,睢阳区环保局,0,优,42,颗粒物（PM10）
7,梁园区档案局(20190220启用),0,优,178,颗粒物（PM10）
8,梁园区档案局,70,良,27,颗粒物（PM10）
0,光明,23,优,4,颗粒物（PM10）
1,铁路,26,优,--,颗粒物（PM10）
0,太仓市监测站,73,良,19,颗粒物（PM10）
1,科教新城实小,0,优,--,颗粒物（PM10）
0,黄岩环保大楼,36,优,23,颗粒物（PM10）
1,台州环保大楼,38,优,6,颗粒物（PM10）
0,市监测中心,0,优,--,颗粒物（PM10）
1,南京路,0,优,--,颗粒物（PM10）
2,北辰科技园区,69,良,49,颗粒物（PM10）
3,天山路,0,优,--,颗粒物（PM10）
4,永明路,27,优,11,颗粒物（PM10）
5,团泊洼,93,良,69,颗粒物（PM10）
6,南口路,0,优,--,颗粒物（PM10）
7,勤俭路,73,良,53,颗粒物（PM10）
8,大直沽八号路,62,良,44,颗粒物（PM10）
9,前进路,69,良,17,颗粒物（PM10）
10,跃进路,35,优,1,颗粒物（PM10）
11,第四大街,25,优,11,颗粒物（PM10）
12,航天路,0,优,--,颗粒物（PM10）
13,汉北路,0,优,--,颗粒物（PM10）
14,河西一经路,31,优,13,颗粒物（PM10）
15,津沽路,0,优,9,颗粒物（PM10）
16,宾水西道,0,优,--,颗粒物（PM10）
17,大理道,49,优,7,颗粒物（PM10）
18,中山北路,34,优,14,颗粒物（PM10）
19,勤俭道,52,良,21,颗粒物（PM10）
20,前进道,0,优,33,颗粒物（PM10）
21,淮河道,0,优,--,颗粒物（PM10）
22,西四道,34,优,8,颗粒物（PM10）
23,市监测中心(停运150702),0,优,--,颗粒物（PM10）
24,南口路(停运161122),0,优,--,颗粒物（PM10）
25,南京路(停运160601),0,优,--,颗粒物（PM10）
26,淮河道,47,优,19,颗粒物（PM10）
27,天山路(停运150702),0,优,--,颗粒物（PM10）
28,梅江小区(停运150702),0,优,--,颗粒物（PM10）
29,航天路(停运170426),0,优,--,颗粒物（PM10）
30,团泊洼(对照点),30,优,--,颗粒物（PM10）
31,河西一经路(启用150702),0,优,270,颗粒物（PM10）
33,宾水西道(启用150702),325,严重污染,275,颗粒物（PM10）
34,大理道(启用160601),0,优,287,颗粒物（PM10）
35,中山北路(启用161122),314,严重污染,264,颗粒物（PM10）
36,西四道(启用170426),0,优,272,颗粒物（PM10）
0,市环保局,55,良,19,颗粒物（PM10）
1,地区环保局,64,良,23,颗粒物（PM10）
0,供销社,0,优,--,颗粒物（PM10）
1,雷达站,0,优,--,颗粒物（PM10）
2,物资局,56,良,20,颗粒物（PM10）
3,陶瓷公司,69,良,50,颗粒物（PM10）
4,十二中,54,良,24,颗粒物（PM10）
5,小山,52,良,16,颗粒物（PM10）
6,消防缸窑路中队(启用200109),152,中度污染,116,颗粒物（PM10）
7,路南电大(启用200110),142,轻度污染,108,颗粒物（PM10）
8,消防缸窑路中队,0,优,14,颗粒物（PM10）
9,路南电大,47,优,25,颗粒物（PM10）
0,仙人崖,20,优,6,颗粒物（PM10）
1,进步巷,37,优,6,颗粒物（PM10）
2,文化馆,56,良,18,颗粒物（PM10）
0,市第四中学,27,优,9,颗粒物（PM10）
1,市公路局,31,优,17,颗粒物（PM10）
2,市新民污水厂,18,优,9,颗粒物（PM10）
3,市第九中学,25,优,10,颗粒物（PM10）
4,车站新区,25,优,1,颗粒物（PM10）
5,市职教基地,21,优,10,颗粒物（PM10）
0,铜仁卫校,41,优,21,颗粒物（PM10）
1,铜仁七中,31,优,10,颗粒物（PM10）
0,监测站,28,优,9,颗粒物（PM10）
1,科创中心,30,优,6,颗粒物（PM10）
2,四水厂,0,优,12,颗粒物（PM10）
3,五七二零厂,29,优,6,颗粒物（PM10）
4,济民医院(对照点),32,优,10,颗粒物（PM10）
0,监测站,39,优,23,颗粒物（PM10）
1,雷台,0,优,--,颗粒物（PM10）
2,东关招商场(190211启用),129,轻度污染,98,颗粒物（PM10）
3,东关招商场,44,优,18,颗粒物（PM10）
0,东湖梨园,43,优,15,颗粒物（PM10）
1,汉阳月湖,40,优,12,颗粒物（PM10）
2,汉口花桥,43,优,18,颗粒物（PM10）
3,武昌紫阳,46,优,20,颗粒物（PM10）
4,青山钢花,42,优,26,颗粒物（PM10）
5,沌口新区,35,优,16,颗粒物（PM10）
6,汉口江滩,32,优,13,颗粒物（PM10）
7,东湖高新,0,优,--,颗粒物（PM10）
8,吴家山,35,优,19,颗粒物（PM10）
9,沉湖七壕,37,优,15,颗粒物（PM10）
10,民族大道182号,40,优,11,颗粒物（PM10）
0,曹张,45,优,25,颗粒物（PM10）
1,漆塘,49,优,15,颗粒物（PM10）
2,东亭,46,优,14,颗粒物（PM10）
3,旺庄,47,优,16,颗粒物（PM10）
4,堰桥,60,良,17,颗粒物（PM10）
5,雪浪,55,良,13,颗粒物（PM10）
6,黄巷,51,良,17,颗粒物（PM10）
7,荣巷,0,优,21,颗粒物（PM10）
0,华夏技校,59,良,24,颗粒物（PM10）
1,山大分校,53,良,23,颗粒物（PM10）
2,市监测站,53,良,26,颗粒物（PM10）
0,瓯海,39,优,27,颗粒物（PM10）
1,南浦,33,优,19,颗粒物（PM10）
2,龙湾,47,优,29,颗粒物（PM10）
3,市站,44,优,18,颗粒物（PM10）
0,监测站,35,优,2,颗粒物（PM10）
1,收费所,31,优,16,颗粒物（PM10）
2,新疆农科院农场,36,优,19,颗粒物（PM10）
3,铁路局,54,良,38,颗粒物（PM10）
4,三十一中学,38,优,18,颗粒物（PM10）
5,七十四中学,0,优,--,颗粒物（PM10）
6,米东区环保局,37,优,17,颗粒物（PM10）
7,培训基地,77,良,56,颗粒物（PM10）
0,州水务局,30,优,20,颗粒物（PM10）
1,市便民服务中心,46,优,18,颗粒物（PM10）
0,鳌峰子站,26,优,10,颗粒物（PM10）
1,敬亭山子站,25,优,13,颗粒物（PM10）
2,开发区子站,25,优,10,颗粒物（PM10）
0,溪东,31,优,11,颗粒物（PM10）
1,洪文,20,优,11,颗粒物（PM10）
2,鼓浪屿,23,优,5,颗粒物（PM10）
3,湖里中学,34,优,9,颗粒物（PM10）
0,达活泉,122,轻度污染,38,颗粒物（PM10）
1,邢师高专,131,轻度污染,40,颗粒物（PM10）
2,路桥公司,122,轻度污染,32,颗粒物（PM10）
3,市环保局,126,轻度污染,42,颗粒物（PM10）
0,高压开关厂,110,轻度污染,24,颗粒物（PM10）
1,兴庆小区,116,轻度污染,30,颗粒物（PM10）
2,纺织城,108,轻度污染,28,颗粒物（PM10）
3,小寨,116,轻度污染,20,颗粒物（PM10）
4,市人民体育场,107,轻度污染,28,颗粒物（PM10）
5,高新西区,108,轻度污染,21,颗粒物（PM10）
6,经开区,105,轻度污染,26,颗粒物（PM10）
7,长安区,116,轻度污染,24,颗粒物（PM10）
8,阎良区,112,轻度污染,22,颗粒物（PM10）
9,临潼区,127,轻度污染,30,颗粒物（PM10）
10,草滩,65,良,29,颗粒物（PM10）
11,曲江文化产业集团,109,轻度污染,19,颗粒物（PM10）
12,广运潭,78,良,16,颗粒物（PM10）
0,气象站,75,良,49,颗粒物（PM10）
1,中华小区,67,良,28,颗粒物（PM10）
2,师范学院,101,轻度污染,22,颗粒物（PM10）
3,中医学院,0,优,--,颗粒物（PM10）
4,气象站(对照点),104,轻度污染,30,颗粒物（PM10）
5,两寺渡,49,优,14,颗粒物（PM10）
0,文化路,38,优,19,颗粒物（PM10）
1,东城区,38,优,21,颗粒物（PM10）
0,平桥分局,0,优,--,颗粒物（PM10）
1,南湾水厂,40,优,16,颗粒物（PM10）
2,市酿酒公司,42,优,14,颗粒物（PM10）
3,审计局,47,优,26,颗粒物（PM10）
0,鸳鸯湖,14,优,6,颗粒物（PM10）
1,南恩路,16,优,8,颗粒物（PM10）
2,马南垌,18,优,8,颗粒物（PM10）
0,寒山水库,41,优,18,颗粒物（PM10）
1,市监测站,39,优,13,颗粒物（PM10）
2,南江一中,0,优,19,颗粒物（PM10）
0,中心医院,0,优,--,颗粒物（PM10）
1,林管局,21,优,7,颗粒物（PM10）
2,汤旺河国家公园,10,优,4,颗粒物（PM10）
0,枣园,45,优,19,颗粒物（PM10）
1,延大医附院,46,优,9,颗粒物（PM10）
2,市监测站,43,优,16,颗粒物（PM10）
3,百米大道,45,优,10,颗粒物（PM10）
0,大兴526台,0,优,--,颗粒物（PM10）
1,建安厂,101,轻度污染,35,颗粒物（PM10）
2,市政府,63,良,36,颗粒物（PM10）
3,川农大,67,良,32,颗粒物（PM10）
4,康养中心(对照点),84,良,44,颗粒物（PM10）
0,江东,19,优,11,颗粒物（PM10）
1,北苑,14,优,5,颗粒物（PM10）
0,蓝田,0,优,--,颗粒物（PM10）
1,漳州三中,0,优,--,颗粒物（PM10）
2,九湖,42,优,13,颗粒物（PM10）
3,蓝田镇,21,优,5,颗粒物（PM10）
4,蓝田(停运160601),0,优,--,颗粒物（PM10）
5,九湖(对照点),26,优,13,颗粒物（PM10）
6,蓝田镇(启用160601),53,良,34,颗粒物（PM10）
7,漳州党校(20190503启用),54,良,37,颗粒物（PM10）
8,漳州党校,20,优,5,颗粒物（PM10）
0,定海檀枫,21,优,9,颗粒物（PM10）
1,普陀东港,24,优,16,颗粒物（PM10）
2,临城新区,22,优,14,颗粒物（PM10）
0,人民公园,55,良,8,颗粒物（PM10）
1,探机厂,0,优,--,颗粒物（PM10）
2,五金库,0,优,--,颗粒物（PM10）
3,世纪豪园,57,良,24,颗粒物（PM10）
4,北泵房,40,优,12,颗粒物（PM10）
5,烟厂,43,优,4,颗粒物（PM10）
0,招远环保局,0,优,31,颗粒物（PM10）
1,招远教育局,0,优,--,颗粒物（PM10）
0,监测站,43,优,9,颗粒物（PM10）
1,科委,46,优,7,颗粒物（PM10）
0,吉大,20,优,7,颗粒物（PM10）
1,前山,18,优,7,颗粒物（PM10）
2,唐家,20,优,14,颗粒物（PM10）
3,斗门,15,优,8,颗粒物（PM10）
0,华柏园,29,优,3,颗粒物（PM10）
1,张溪,20,优,8,颗粒物（PM10）
2,紫马岭,24,优,15,颗粒物（PM10）
3,长江旅游区,0,优,8,颗粒物（PM10）
0,湛江影剧院,28,优,14,颗粒物（PM10）
1,市环境监测站,32,优,11,颗粒物（PM10）
2,环保局宿舍,28,优,7,颗粒物（PM10）
3,霞山游泳场,0,优,8,颗粒物（PM10）
4,麻章区环保局,55,良,8,颗粒物（PM10）
5,坡头区环保局,18,优,8,颗粒物（PM10）
0,市环境监测站,59,良,22,颗粒物（PM10）
1,周口师范,62,良,19,颗粒物（PM10）
2,市运管处,60,良,16,颗粒物（PM10）
3,川汇区环保局,64,良,23,颗粒物（PM10）
0,市一纸厂,50,优,23,颗粒物（PM10）
1,市彩印厂,52,良,13,颗粒物（PM10）
2,天方二分厂,48,优,14,颗粒物（PM10）
0,烟厂,0,优,26,颗粒物（PM10）
1,郑纺机,84,良,41,颗粒物（PM10）
2,银行学校,0,优,--,颗粒物（PM10）
3,供水公司,77,良,27,颗粒物（PM10）
4,经开区管委,83,良,26,颗粒物（PM10）
5,四十七中,0,优,37,颗粒物（PM10）
6,市监测站,68,良,30,颗粒物（PM10）
7,河医大,69,良,29,颗粒物（PM10）
8,岗李水库,51,良,29,颗粒物（PM10）
9,岗李水库(对照点),79,良,31,颗粒物（PM10）
0,图书馆,19,优,6,颗粒物（PM10）
,富林印务,0,优,--,颗粒物（PM10）
,,,,,
